Dataset,Algorithm,Metric,Delta_Ratio,Time_s,Max_Radius,Silhouette,Adj_Rand,k
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.2477168000000347,2.1101057351298005,0.3523244721190471,-0.001399543297075508,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.006674499999917316,2.0354812261853,0.3481746994173356,-0.0013001790863015213,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0071069999999053834,2.0354812261853,0.3481746994173356,-0.0013001790863015213,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.006734300000061921,2.100411212670726,0.3547977119679045,-0.0012281853569537664,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.006116099999871949,2.0807920130212354,0.35342399359473553,-0.0012277169737660756,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.006895999999869673,2.094747625562782,0.3524452337477033,-0.0013589847116442031,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.00670669999999518,2.082177664513469,0.35238427368896136,-0.0013587973338409058,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.007535199999892939,2.0764369814377215,0.34740480057904455,-0.001396170371800474,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.005655200000092009,2.107835960520377,0.3519452078728129,-0.0013016780208543555,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.004367500000171276,2.099577687240695,0.3522832952121874,-0.0012282790336438918,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0048581999999441905,2.038301727716331,0.34757454475972055,-0.0011360713096312883,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.004456699999991542,2.0767084687974897,0.35333775001303225,-0.001359078400572149,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0056304999998246785,2.0852306106646856,0.3530545305929901,-0.001359078400572149,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0038546999999198306,2.067935346561654,0.3536985906311593,-0.0013581415120816037,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.00465699999995195,2.1389567724621705,0.35257107262484577,-0.0014326647564469914,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,5.9300000430084765e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00011089999998148414,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,3.440000000409782e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,3.0100000003585592e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,3.2500000088475645e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,5.609999971056823e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,3.9400000332534546e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,2.859999995052931e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,2.790000007735216e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,2.390000008745119e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,5.809999993289239e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,2.9100000119797187e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,2.8299999939918052e-05,3.4619778401435597,0.34802941273996896,-4.490937656207004e-05,2
