Dataset,Algorithm,Metric,Delta_Ratio,k,Time_mean,Time_std,Radius_mean,Radius_std,Silhouette_mean,Silhouette_std,AdjRand_mean,AdjRand_std
MultiVar_Circular_Low_6,Refinement,Minkowski-L2,1%,4,0.003023533263088514,7.471622962457032e-05,0.8676008657458352,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L2,5%,4,0.0022815624659415336,8.869901581448805e-05,0.8676008657458352,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L2,10%,4,0.0019009150001996508,0.00010136477016512926,0.8676008657458352,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L2,15%,4,0.0014970449381507933,0.0002748290976221426,0.8676008657458352,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L2,25%,4,0.0011534416039163868,0.0003385835583709757,0.9054077549663453,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L3,1%,4,0.0031803319385896125,0.00011089234233344915,0.8385117317365877,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L3,5%,4,0.0024904608668293803,6.442437404024105e-05,0.8385117317365877,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L3,10%,4,0.001978129200870171,7.04010290525898e-05,0.8385117317365877,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L3,15%,4,0.001456192199839279,6.606727701353065e-05,0.8385117317365877,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Low_6,Refinement,Minkowski-L3,25%,4,0.001292337467505907,0.00032343822997987087,0.8385117317365877,0.0,0.8422727593170815,0.0,1.0,0.0
MultiVar_Circular_Medium_2,Refinement,Mahalanobis,1%,4,0.0015340403944719583,5.958344273947621e-05,1.820845049414151,0.0,0.4419579751070454,0.0,0.6750623518638974,0.0
MultiVar_Circular_Medium_2,Refinement,Mahalanobis,5%,4,0.0012282607921709618,0.00019723812628390998,1.812617407498806,0.0,0.42464098095909353,0.0,0.6448925931733445,0.0
MultiVar_Circular_Medium_2,Refinement,Mahalanobis,10%,4,0.0009659791326460739,7.542928521179691e-05,1.812617407498806,0.0,0.42464098095909353,0.0,0.6448925931733445,0.0
MultiVar_Circular_Medium_2,Refinement,Mahalanobis,15%,4,0.0007714013316823791,4.8750830306833426e-05,2.5529240241285858,0.0,0.33380029896237173,0.0,0.4080018200272727,0.0
MultiVar_Circular_Medium_2,Refinement,Mahalanobis,25%,4,0.000497997464844957,5.092378246973724e-05,2.5529240241285858,0.0,0.33380029896237173,0.0,0.4080018200272727,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L1,1%,4,0.0013953873344386618,5.0316859516896056e-05,2.1609941619595787,0.0,0.41803361629713354,0.0,0.6264374331998641,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L1,5%,4,0.001133080405027916,0.00013973000748408734,2.710752122771458,0.0,0.3114487169880197,0.0,0.536690893148953,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L1,10%,4,0.000894074533910801,4.9239017826947296e-05,2.710752122771458,0.0,0.3114487169880197,0.0,0.536690893148953,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L1,15%,4,0.0007941581367049366,0.0001485098322671303,3.0610304518362668,0.0,0.36556587037169924,0.0,0.4616778198769813,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L1,25%,4,0.0005308508678960304,0.00015692093710182957,3.0610304518362668,0.0,0.36556587037169924,0.0,0.4616778198769813,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L2,1%,4,0.00157753720607919,0.00014331765696581474,1.7966525521392023,0.0,0.42908754527666304,0.0,0.6506282987920586,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L2,5%,4,0.0011896101971312115,0.00015873962977615438,1.7966525521392023,0.0,0.42908754527666304,0.0,0.6506282987920586,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L2,10%,4,0.0009906249314857027,0.0002065707615538181,1.7966525521392023,0.0,0.42908754527666304,0.0,0.6506282987920586,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L2,15%,4,0.0007826634643909832,5.21296248890679e-05,2.582591263743601,0.0,0.35003330885381884,0.0,0.4344120161106831,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L2,25%,4,0.0005665313976351172,0.00016586829336497706,2.582591263743601,0.0,0.35003330885381884,0.0,0.4344120161106831,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L3,1%,4,0.0015484754015536357,8.561797658913943e-05,1.783960631500853,0.0,0.4338894409045128,0.0,0.6615225056006359,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L3,5%,4,0.0011890126023596773,6.851529460949677e-05,1.783960631500853,0.0,0.4338894409045128,0.0,0.6615225056006359,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L3,10%,4,0.0009729913300058495,7.367436121533165e-05,1.783960631500853,0.0,0.4338894409045128,0.0,0.6615225056006359,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L3,15%,4,0.0008477426696723948,0.00022838378760930232,1.8674534917141512,0.0,0.3752227229286626,0.0,0.531026032180309,0.0
MultiVar_Circular_Medium_2,Refinement,Minkowski-L3,25%,4,0.0005101038666907697,6.392093751029625e-05,1.8674534917141512,0.0,0.3752227229286626,0.0,0.531026032180309,0.0
MultiVar_Circular_Medium_7,Refinement,Mahalanobis,1%,4,0.00277060759641851,8.583660887791977e-05,1.6342382078498068,0.0,0.5010230303268514,0.0,0.79295453199801,0.0
MultiVar_Circular_Medium_7,Refinement,Mahalanobis,5%,4,0.0022534829991248746,0.00036279640140664943,1.6342382078498068,0.0,0.5010230303268514,0.0,0.79295453199801,0.0
MultiVar_Circular_Medium_7,Refinement,Mahalanobis,10%,4,0.0017543950661395987,6.076232122257662e-05,1.6342382078498068,0.0,0.5010230303268514,0.0,0.79295453199801,0.0
MultiVar_Circular_Medium_7,Refinement,Mahalanobis,15%,4,0.0015466949339800824,0.0002951166760176255,2.2670558320155605,0.0,0.42076659613611933,0.0,0.5843537654978287,0.0
MultiVar_Circular_Medium_7,Refinement,Mahalanobis,25%,4,0.0011370536696631462,0.00030822208626678,2.2670558320155605,0.0,0.42076659613611933,0.0,0.5843537654978287,0.0
