Dataset,Algorithm,Metric,Delta_Ratio,Time_s,Max_Radius,Silhouette,Adj_Rand,k
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.04168398500041803,2.134396742891449,0.34898457106688113,-0.0013018185461987697,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.004347376001533121,2.1106035780414065,0.3524303174990496,-0.0013018185461987697,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.00293851199967321,2.0792667777064557,0.34796685868959115,-0.0014322431254224605,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0031427780049853027,2.134396742891449,0.34898457106688113,-0.0013018185461987697,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003059798000322189,2.1043029923591714,0.35230611312436355,-0.001399543297075508,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0040480399984517135,2.119372061801961,0.35233801796808206,-0.0013587973338409058,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0031165279942797497,2.037514869579538,0.3503878749009676,-0.0013976694468953675,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0032497139982297085,2.1234751816703175,0.35196975205041603,-0.001226873885132564,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003212942996469792,2.0848006480492156,0.3534898714372853,-0.0012277169737660756,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003634164997492917,2.105634990001653,0.3484987681353496,-0.001399215372787745,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003747949995158706,2.058684138926602,0.3540677639261811,-0.001300694344547869,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.0026742650006781332,2.059617242681751,0.35410700339501255,-0.001137195325191129,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003874788999382872,2.066029901729549,0.3501349094202807,-0.0014322431254224605,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.003162424996844493,2.133929699932399,0.3522615864240165,-0.0013016780208543555,2
SKL_NoisyCircles_1,KMeans,Euclidiana,N/A,0.002881132000766229,2.066029901729549,0.3501349094202807,-0.0014322431254224605,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00014933200145605952,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00011579400597838685,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00013555100304074585,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00012779700045939535,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00010721299622673541,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,9.557200246490538e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.0001320589944953099,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,8.886899740900844e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,9.099300223169848e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.00011829300638055429,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,8.496500231558457e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,6.945300265215337e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,7.194499630713835e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,0.0001328310027020052,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,MaxMin,Minkowski-L1,N/A,8.957399404607713e-05,3.4619778401435597,0.3480294127399689,-4.490937656207004e-05,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.0037397030027932487,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.004494034001254477,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.004676055003073998,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.00473957099893596,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.00426703599805478,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.004383388004498556,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.004737611998280045,3.17169244521881,0.32039056115798453,0.011732755096699665,2
SKL_NoisyCircles_1,Refinement,Minkowski-L1,0.01,0.0048046350057120435,3.17169244521881,0.32039056115798453,0.011732755096699665,2
